Season,Team,Home,Opponent,Minutes_Played,Shot_Attempts,Shot_Proportion,Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Game_Result,Point_Differential
2016,CLE,Home,IND,42:16:00,11,0.55,10,7,4,4,8,2,25,Win,6
2016,CLE,Away,IND,45:13:00,14,0.519,13,12,1,2,3,4,41,Win,5
2016,CLE,Away,IND,44:44:00,13,0.52,10,4,4,2,4,1,33,Win,4
2016,CLE,Home,TOR,41:02:00,13,0.565,10,4,1,1,3,2,35,Win,11
2016,CLE,Home,TOR,36:36:00,10,0.714,6,4,3,2,3,3,39,Win,22
2016,CLE,Away,TOR,40:38:00,9,0.563,8,7,1,0,5,1,35,Win,21
2016,CLE,Away,TOR,46:11:00,11,0.5,9,6,0,1,6,1,35,Win,7
2016,CLE,Away,BOS,41:58:00,14,0.583,9,7,2,0,2,2,38,Win,13
2016,CLE,Away,BOS,32:48:00,12,0.667,4,7,4,3,1,1,30,Win,44
2016,CLE,Home,BOS,45:03:00,4,0.308,6,6,1,1,6,2,11,Loss,-3
2016,CLE,Home,BOS,38:16:00,15,0.556,5,6,1,1,5,4,34,Win,13
2016,CLE,Away,BOS,34:44:00,13,0.722,8,8,3,1,2,4,35,Win,33
2016,CLE,Away,GSW,40:02:00,9,0.45,15,8,0,2,8,4,28,Loss,-22
2016,CLE,Away,GSW,39:22:00,12,0.667,11,14,3,1,4,2,29,Loss,-19
2016,CLE,Home,GSW,45:37:00,15,0.556,11,9,1,1,5,2,39,Loss,-5
2016,CLE,Home,GSW,40:46:00,11,0.5,10,11,1,0,2,2,31,Win,21
2016,CLE,Away,GSW,46:13:00,19,0.633,13,8,2,1,2,3,41,Loss,-9
2017,CLE,Home,IND,43:56:00,7,0.412,10,12,1,1,3,2,24,Loss,-18
2017,CLE,Home,IND,39:53:00,17,0.708,12,5,2,0,3,1,46,Win,3
2017,CLE,Away,IND,41:41:00,10,0.455,12,8,1,1,6,1,28,Loss,-2
2017,CLE,Away,IND,46:09:00,12,0.545,13,7,0,2,1,3,32,Win,4
2017,CLE,Home,IND,41:49:00,14,0.583,10,8,1,1,5,3,44,Win,3
2017,CLE,Away,IND,31:11:00,7,0.438,5,7,1,2,4,3,22,Loss,-34
2017,CLE,Home,IND,43:25:00,16,0.64,8,7,4,0,4,4,45,Win,4
2017,CLE,Away,TOR,46:56:00,12,0.4,11,13,1,2,1,2,26,Win,1
2017,CLE,Away,TOR,40:30:00,19,0.679,8,14,1,0,1,1,43,Win,18
2017,CLE,Home,TOR,41:16:00,14,0.538,6,7,3,1,4,1,38,Win,2
2017,CLE,Home,TOR,38:24:00,12,0.632,8,11,2,1,2,2,29,Win,35
2017,CLE,Away,BOS,36:07:00,5,0.313,7,9,0,2,7,1,15,Loss,-25
2017,CLE,Away,BOS,38:46:00,16,0.552,10,12,0,1,6,3,42,Loss,-13
2017,CLE,Home,BOS,37:30:00,8,0.667,5,12,2,2,3,3,27,Win,30
2017,CLE,Home,BOS,41:53:00,17,0.607,5,3,2,0,7,3,44,Win,9
2017,CLE,Away,BOS,39:16:00,11,0.5,10,5,1,0,6,2,26,Loss,-13
2017,CLE,Home,BOS,46:06:00,17,0.515,11,9,3,1,3,2,46,Win,10
2017,CLE,Away,BOS,48:00:00,12,0.5,15,9,0,2,8,4,35,Win,8
2017,CLE,Away,GSW,47:32:00,19,0.594,8,8,1,1,5,2,51,Loss,-10
2017,CLE,Away,GSW,43:51:00,10,0.5,9,13,2,0,5,2,29,Loss,-19
2017,CLE,Home,GSW,46:52:00,13,0.464,10,11,2,2,4,2,33,Loss,-8
2017,CLE,Home,GSW,40:34:00,7,0.538,7,8,0,1,6,5,23,Loss,-23
2019,LAL,Home,POR,41:03:00,9,0.45,17,16,1,0,4,1,23,Loss,-7
2019,LAL,Home,POR,26:41:00,4,0.364,6,7,2,0,6,1,10,Win,23
2019,LAL,Away,POR,34:29:00,11,0.611,12,8,2,0,8,3,38,Win,8
2019,LAL,Away,POR,28:18:00,10,0.833,6,10,0,1,2,2,30,Win,20
2019,LAL,Home,POR,33:52:00,14,0.737,10,10,1,1,5,1,36,Win,9
2019,LAL,Home,HOU,36:34:00,7,0.467,8,7,0,2,4,2,20,Loss,-15
2019,LAL,Home,HOU,39:16:00,10,0.588,11,9,4,2,7,3,28,Win,8
2019,LAL,Away,HOU,37:31:00,13,0.565,7,5,1,4,2,1,36,Win,10
2019,LAL,Away,HOU,33:45:00,7,0.412,15,9,3,0,4,2,16,Win,10
2019,LAL,Home,HOU,30:48:00,9,0.5,11,7,2,1,4,2,29,Win,23
2019,LAL,Home,DEN,30:54:00,6,0.545,6,12,0,0,3,2,15,Win,12
2019,LAL,Home,DEN,36:25:00,10,0.5,11,4,0,2,6,2,26,Win,2
2019,LAL,Away,DEN,37:15:00,14,0.609,10,11,2,2,6,1,30,Loss,-8
2019,LAL,Away,DEN,38:21:00,7,0.389,9,8,0,0,0,2,26,Win,6
2019,LAL,Home,DEN,40:01:00,15,0.6,16,10,1,0,2,2,38,Win,10
2019,LAL,Home,MIA,36:24:00,9,0.529,13,9,1,0,2,3,25,Win,18
2019,LAL,Home,MIA,39:09:00,14,0.56,9,9,1,1,0,2,33,Win,10
2019,LAL,Away,MIA,39:13:00,9,0.563,10,8,0,2,8,2,25,Loss,-11
2019,LAL,Away,MIA,38:38:00,8,0.5,12,8,1,0,6,2,28,Win,6
2019,LAL,Home,MIA,41:51:00,15,0.714,13,7,3,0,4,1,40,Loss,-3
2019,LAL,Away,MIA,41:13:00,13,0.65,14,10,1,0,1,3,28,Win,13
